title;totalScore;reviewsCount;street;city;state;countryCode;website;phone;categories/0;categories/1;categories/2;categories/3;categories/4;categories/5;categories/6;categories/7;categories/8;categories/9;url;categoryName;;;;;
CRESSIDA Factory Outlet;4.4;287;Jl. AH. Nasution No.172;Kota Bandung;Jawa Barat;ID;;+62 22 63734032;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=CRESSIDA%20Factory%20Outlet&query_place_id=ChIJYyBMB-ndaC4RXcBIFUQ_zq4;Toko Pakaian;;;;;
Toko Tiga;4.4;2078;3JHC+QFM, Jl. A. Yani;Kota Bandung;Jawa Barat;ID;;;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Tiga&query_place_id=ChIJXywKMC3maC4RSqIKEjRTMKw;Toko Pakaian;;;;;
Konveksi Bandung - Finest Garment;4.9;131;Jl. Vijayakusuma XVII No.47D;Kota Bandung;Jawa Barat;ID;https://bandung.finest-garment.com/;+62 813-9393-5511;Toko Kaos;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Konveksi%20Bandung%20-%20Finest%20Garment&query_place_id=ChIJNzpQ5J3daC4Rk74MZgM-5sM;Toko Kaos;;;;;
Gudang Garment;4.4;335;Jl. AH. Nasution No.76;Kota Bandung;Jawa Barat;ID;;+62 800 800800;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Gudang%20Garment&query_place_id=ChIJ4QqTzmTdaC4RFusiQFNqDVE;Toko Pakaian;;;;;
GROSIR KAOS POLOS BANDUNG;4.9;68;Jl. Pasir Impun Barat No.38, RT.02/RW.03;Kota Bandung;Jawa Barat;ID;http://shopee.co.id/kaosaurus;+62 882-0000-55218;Toko Kaos;Toko Pakaian Pria;Toko Pakaian Wanita;;;;;;;;https://www.google.com/maps/search/?api=1&query=GROSIR%20KAOS%20POLOS%20BANDUNG&query_place_id=ChIJNWSf4c7daC4RSoqX11HS8DI;Toko Kaos;;;;;
Dessya Collection;4.8;6;;Kota Bandung;Jawa Barat;ID;;+62 821-1860-6601;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Dessya%20Collection&query_place_id=ChIJNUnTzxjdaC4RhzIGrcJIKKI;Toko Pakaian;;;;;
Toko Fatih Collection Serba 35.000;5;5;Jl. Giri Jati No.231;Kota Bandung;Jawa Barat;ID;;;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Fatih%20Collection%20Serba%2035.000&query_place_id=ChIJKfqIMQDdaC4RQbpOZRroKHE;Toko Pakaian;;;;;
Kips Bandung;5;318;Jl. Taruna Raya No.56;Kota Bandung;Jawa Barat;ID;http://kips.co.id/;+62 813-2044-4965;Toko Pakaian Seragam;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Kips%20Bandung&query_place_id=ChIJMXXRS7LnaC4RompeNaUPEWs;Toko Pakaian Seragam;;;;;
Grosir Jeans Bandung;5;97;Jl. Sukaasih Raya;Kota Bandung;Jawa Barat;ID;https://www.tokopedia.com/grosirjeansbandung1;+62 813-2033-9458;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Grosir%20Jeans%20Bandung&query_place_id=ChIJ2YIx_dTdaC4R_kokh-caDMw;Toko Pakaian;;;;;
Paberik Badjoe;4.4;7341;Jl. Soekarno-Hatta No.573;Kota Bandung;Jawa Barat;ID;;+62 22 7337269;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Paberik%20Badjoe&query_place_id=ChIJKdv-jmnoaC4RWzkGFnSpp0k;Toko Pakaian;;;;;
Distributor Sembako Murah Bandung;;;Jl. Terusan Sutami II No.27;Kota Bandung;Jawa Barat;ID;;;Pasar;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Distributor%20Sembako%20Murah%20Bandung&query_place_id=ChIJbwR0CZjnaC4RfCMLV8rrn3M;Pasar;;;;;
Warung Sembako Mom Bilqis;5;3;Gg. Sekemirung II No.64-10;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Mom%20Bilqis&query_place_id=ChIJ_dQraADnaC4RkzzTvqOOKf8;Toko;;;;;
TOKO JULJOL (Sayur & Sembako);5;10;Jl. Ir. H. Juanda No.218;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/juljolexpressshop/;+62 813-8349-9990;Grosir;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20JULJOL%20(Sayur%20%26%20Sembako)&query_place_id=ChIJ_SbqLZbnaC4Rt_CfSNvEwPg;Grosir;;;;;
Warung sembako murah;5;2;Jl. Sadang Saip No.17b;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%20murah&query_place_id=ChIJYwDJZovnaC4R0b4wiWpWZTU;Toko;;;;;
Warung Sembako Alkha;4.7;3;4J5H+G7J;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Alkha&query_place_id=ChIJ35FmVLbnaC4R5kQve1a4AKs;Toko bahan makanan;;;;;
Pot Meets Pop;4.4;219;Jl. Sultan Agung No.9;Kota Bandung;Jawa Barat;ID;http://www.potmeetspopdenim.com/;+62 817-1717-7420;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Pot%20Meets%20Pop&query_place_id=ChIJG6d3j0nmaC4RpyyXMFjBYFQ;Toko Pakaian;;;;;
GROSIR SEMBAKO ALBAROKAH;4.5;11;Jl. Sekeloa No.12;Kota Bandung;Jawa Barat;ID;;+62 857-2124-3062;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=GROSIR%20SEMBAKO%20ALBAROKAH&query_place_id=ChIJfdZoTVTmaC4Rk2P2UWBDEac;Toko;;;;;
Chickcool Distro;5;2;Plaza Parahyangan, Jl. Dalem Kaum Blok C Lt. Dasar;Kota Bandung;Jawa Barat;ID;;+62 812-2267-1407;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Chickcool%20Distro&query_place_id=ChIJN2cLJSTmaC4RPlYG3KVRVYE;Toko Pakaian;;;;;
Your Local Brand;5;1;Jl. Sirnagalih No.36, RT.5/RW.4;Kota Bandung;Jawa Barat;ID;;+62 822-1718-9400;Pemasok Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Your%20Local%20Brand&query_place_id=ChIJMxymksjnaC4RoAhdXPnkG5I;Pemasok Pakaian;;;;;
Wised Official Store;5;532;Jl. Sultan Agung No.11;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/wisedofficial;+62 812-2214-1454;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Wised%20Official%20Store&query_place_id=ChIJYWsnIITnaC4Rw3WV1iiE4TE;Toko Pakaian;;;;;
Mischief;4.6;166;Jl. L. L. R.E. Martadinata No.70;Kota Bandung;Jawa Barat;ID;http://www.mischiefdenim.com/;+62 22 4218333;Toko Pakaian Pria;Toko Pakaian;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mischief&query_place_id=ChIJL9F-tkrmaC4Raphi-VKMqRg;Toko Pakaian Pria;;;;;
Distro Persib;4.3;31;3M4Q+9J3, Jl. Gedebage Selatan;Kota Bandung;Jawa Barat;ID;;+62 822-8204-0153;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Distro%20Persib&query_place_id=ChIJ-bghT77CaC4RYho9WcoCdqo;Toko Pakaian;;;;;
Aloomni ID (Premium T-Shirt & Kaos Custom Satuan Distro Quality);5;3128;Jl. Pluto Sel. II No.35;Kota Bandung;Jawa Barat;ID;https://aloomni.id/;+62 878-7988-9445;Pasar pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Aloomni%20ID%20(Premium%20T-Shirt%20%26%20Kaos%20Custom%20Satuan%20Distro%20Quality)&query_place_id=ChIJtzycPbLpaC4RLSByTW7HqOI;Pasar pakaian;;;;;
Screamous Flagship Store;4.4;281;Jl. Trunojoyo No.8;Kota Bandung;Jawa Barat;ID;http://www.screamous.com/;+62 22 20523152;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Screamous%20Flagship%20Store&query_place_id=ChIJfe0wsUnmaC4Rjb6Mc8c-S-s;Toko Pakaian;;;;;
Baju Kaos Distro Online Bandung;5;6;No Jl. Tj. Sari Asri Bar. No.56;Kota Bandung;Jawa Barat;ID;;+62 812-2099-8685;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Baju%20Kaos%20Distro%20Online%20Bandung&query_place_id=ChIJx16hlPbnaC4RRjTyl2Ht_SY;Toko Pakaian;;;;;
bloods concept store;4.5;253;3JW6+4QR, Jl. Sultan Agung;Kota Bandung;Jawa Barat;ID;;+62 813-2077-5197;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=bloods%20concept%20store&query_place_id=ChIJ____v0vmaC4RM8DYLkSdLQo;Toko Pakaian;;;;;
Evil Army;4.5;68;Jl. Sultan Agung No.5;Kota Bandung;Jawa Barat;ID;https://www.evilfact.com/;+62 22 4265106;Toko Aksesori Pakaian;Grosir pakaian;Toko Pakaian Pria;;;;;;;;https://www.google.com/maps/search/?api=1&query=Evil%20Army&query_place_id=ChIJfQYFSUjmaC4RUIjXeasS6hs;Toko Aksesori Pakaian;;;;;
Rumah Batik Komar (Workshop dan Showroom);4.5;598;Jl. Cigadung Raya Timur No.1 No.5;Kota Bandung;Jawa Barat;ID;http://batikkomar.com/;+62 22 2514788;Toko pakaian batik;Toko Pakaian;Tujuan Wisata;;;;;;;;https://www.google.com/maps/search/?api=1&query=Rumah%20Batik%20Komar%20(Workshop%20dan%20Showroom)&query_place_id=ChIJm09x6qnnaC4R6R7VUMW5urw;Toko pakaian batik;;;;;
Toko Terus Jaya;4.2;127;Jl. Sukajadi No.90;Kota Bandung;Jawa Barat;ID;;;Toko Pakaian Seragam;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Terus%20Jaya&query_place_id=ChIJJ-zLumDmaC4RsMayjb2zSIA;Toko Pakaian Seragam;;;;;
Konveksi Bandung Murah Berkualitas Jawara | Atteso Konveksi;5;25;Jl. Cisitu Indah V No.13;Kota Bandung;Jawa Barat;ID;https://attesokonveksi.com/;+62 812-1255-9055;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Konveksi%20Bandung%20Murah%20Berkualitas%20Jawara%20%7C%20Atteso%20Konveksi&query_place_id=ChIJByFY9WDnaC4ROaTKDfpx4wo;Toko Pakaian;;;;;
Rumah Batik Cipaku;4.8;532;Jl. Cipaku Indah I No.14;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/rumahbatikcipaku;+62 811-2333-699;Toko pakaian batik;Toko Pakaian;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Rumah%20Batik%20Cipaku&query_place_id=ChIJud8ghL_maC4RqzKgEXZDxss;Toko pakaian batik;;;;;
Cais Kids;5;116;Balubur Town Square, Blok D2 Lot M06;Kota Bandung;Jawa Barat;ID;https://instagram.com/caiskids?igshid=MzRlODBiNWFlZA==;+62 811-2297-922;Toko Pakaian Anak;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Cais%20Kids&query_place_id=ChIJRS2QxAjnaC4RYWmo2Lj0UrQ;Toko Pakaian Anak;;;;;
ADF OUTLET DAGO;4.3;793;Jl. Ir. H. Juanda No.123;Kota Bandung;Jawa Barat;ID;https://shopee.co.id/adfoutletdago?categoryId=100017&entryPoint=ShopByPDP&itemId=10820961731;+62 22 2536255;Toko Pakaian Olahraga;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=ADF%20OUTLET%20DAGO&query_place_id=ChIJu_7A01bmaC4RVE1lLzcBjAI;Toko Pakaian Olahraga;;;;;
Abadi Fashion Pusat;5;32;Jl. Sersan Bajuri No.17A;Kota Bandung;Jawa Barat;ID;;+62 812-2487-3607;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Abadi%20Fashion%20Pusat&query_place_id=ChIJ8R5g57nmaC4RaQ7A9OF0swY;Toko Pakaian;;;;;
JETSET KONVEKSI BANDUNG Pusat Sablon Kaos Termurah Terbaik;4.7;232;Jl. Surapati No.169;Kota Bandung;Jawa Barat;ID;https://www.jetsetkaosbandung.com/p/cara-pesan.html;+62 858-6141-4155;Toko Kaos Custom;Toko Pakaian Anak;Produsen pakaian dan kain;Toko Pakaian;Pemasok Pakaian;Pasar Grosir Pakaian;Penjahit Pesanan Khusus;Produsen;Toko Sablon;Toko Kaos;https://www.google.com/maps/search/?api=1&query=JETSET%20KONVEKSI%20BANDUNG%20Pusat%20Sablon%20Kaos%20Termurah%20Terbaik&query_place_id=ChIJtY5M_rDnaC4RVM4HHUONG6Q;Toko Kaos Custom;;;;;
Fox Store factory outlet;4.6;25;;Kota Bandung;Jawa Barat;ID;;;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Fox%20Store%20factory%20outlet&query_place_id=ChIJybfNfxvnaC4RlMzPR58lnm0;Toko Pakaian;;;;;
Kencana Pajajaran;4.4;120;Jl. Dipati Ukur No.40;Kota Bandung;Jawa Barat;ID;;+62 22 2505852;Toko pakaian batik;Butik;Toko Pakaian;Toko Aksesori Pakaian;;;;;;;https://www.google.com/maps/search/?api=1&query=Kencana%20Pajajaran&query_place_id=ChIJa1cTEVLmaC4RBgZrlqmsgWg;Toko pakaian batik;;;;;
Toko bajudress.id;1.7;6;Jl. Ir. H. Juanda No.112;Kota Bandung;Jawa Barat;ID;;;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20bajudress.id&query_place_id=ChIJ27GfDADnaC4RXW4HdyuJJrI;Toko Pakaian;;;;;
Grosir baju murah;;;Jl. Bukit Resik No.18;Kota Bandung;Jawa Barat;ID;;+62 812-2058-5155;Pasar Grosir Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Grosir%20baju%20murah&query_place_id=ChIJ1zOe3NvnaC4RYhPcUpGOchU;Pasar Grosir Pakaian;;;;;
Jaket outdoor dan sewa alat-alat camping;5;2;4HHM+HVX, Jl. Sukahaji;Kota Bandung;Jawa Barat;ID;;+62 813-1317-4448;Toko Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Jaket%20outdoor%20dan%20sewa%20alat-alat%20camping&query_place_id=ChIJPZixT2jnaC4RG-sjZxY0dPs;Toko Pakaian;;;;;
Mayoutfit;4.5;1901;Jl. Gegerkalong Hilir No.9;Kota Bandung;Jawa Barat;ID;;+62 22 82004502;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mayoutfit&query_place_id=ChIJUa4-L5TmaC4RmhP0Qa5_1fA;Toko;;;;;
Mountaingeer;5;6;Gg. Bukit Reuma II No.12 A;Kota Bandung;Jawa Barat;ID;http://instagram.com/mountaingeer_id/;+62 811-8971-111;Toko Olahraga Luar Ruangan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mountaingeer&query_place_id=ChIJIf7XrEHnaC4RCMb85zb-1Hg;Toko Olahraga Luar Ruangan;;;;;
ALTEVA OUTDOOR;5;8;Street View, Jl. Giringsing No.1;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/altevaoutdoor/;+62 896-6296-0222;Toko Pakaian Olahraga;Toko;;;;;;;;;https://www.google.com/maps/search/?api=1&query=ALTEVA%20OUTDOOR&query_place_id=ChIJTWSHNs_naC4RaVXReuZiW64;Toko Pakaian Olahraga;;;;;
EVEREST Outdoor Gear & Equipment;4.6;82;Jl. Gagak No.164, RT.001/RW.05;Kota Bandung;Jawa Barat;ID;https://www.instagram.com/everest_bdg/;+62 813-9518-0809;Layanan Sewa Tenda;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=EVEREST%20Outdoor%20Gear%20%26%20Equipment&query_place_id=ChIJo_y0oa7naC4RleLk0fmpUII;Layanan Sewa Tenda;;;;;
RUMAH SEPATU VANS BANDUNG;4.1;221;Jl. Teuku Umar No.33;Kota Bandung;Jawa Barat;ID;http://shopee.co.id/blackshoesstorebandung;;Pusat Perbelanjaan;Toko Sepatu;;;;;;;;;https://www.google.com/maps/search/?api=1&query=RUMAH%20SEPATU%20VANS%20BANDUNG&query_place_id=ChIJVVVI9VPmaC4RsIlVOq3-Lfs;Pusat Perbelanjaan;;;;;
TOKO SAM OUTDOOR;4.7;19;Jl. Haur Pancuh No.86;Kota Bandung;Jawa Barat;ID;;+62 813-2121-0750;Toko Olahraga Luar Ruangan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20SAM%20OUTDOOR&query_place_id=ChIJDVc_OiTnaC4RaKM4fx6hO88;Toko Olahraga Luar Ruangan;;;;;
Ngawana Outdoor Rental;4.3;15;Jl. Gagak belakang No.127;Kota Bandung;Jawa Barat;ID;;;Toko Alat-alat Perkemahan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Ngawana%20Outdoor%20Rental&query_place_id=ChIJZfyvetznaC4RaOdfY9Y5j5g;Toko Alat-alat Perkemahan;;;;;
Toko Sepatu Sandal Lokal Terbaik;5;1;Jl. Karang Tineung Indah Dalam No.84/181, RT./001/RW./004;Kota Bandung;Jawa Barat;ID;;+62 815-4675-1190;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sepatu%20Sandal%20Lokal%20Terbaik&query_place_id=ChIJBbQymEnnaC4RO0qGc5v-JWg;Toko Sepatu;;;;;
F.A.U.S.T;4.8;21;Jl. Dipati Ukur No.49B;Kota Bandung;Jawa Barat;ID;;+62 856-2449-9057;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=F.A.U.S.T&query_place_id=ChIJQUQ6E1TmaC4R-JdNEKfScc0;Toko Sepatu;;;;;
MySepatu Surapati;4.6;113;Jl. Surapati No.89;Kota Bandung;Jawa Barat;ID;https://instagram.com/mysepatu_surapati?igshid=NzAzN2Q1NTE=;+62 852-2006-2889;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=MySepatu%20Surapati&query_place_id=ChIJN9fTY_3naC4RCgs8fDK8CIs;Toko Sepatu;;;;;
BLANKENHEIM RETAIL STORE;5;7;SOGO - PVJ Mall, Paris Van Java, Jl. Sukajadi No.137-139;Kota Bandung;Jawa Barat;ID;http://www.blankenheim.id/;+62 811-8582-207;Pabrikan barang kulit;Toko Barang-barang Kulit;;;;;;;;;https://www.google.com/maps/search/?api=1&query=BLANKENHEIM%20RETAIL%20STORE&query_place_id=ChIJo8HyEcnnaC4RpQq67dKxJVo;Pabrikan barang kulit;;;;;
THE BAROKAH 'warung kelontong company' since 2005;4;1;Gang Reumah Kidul No.1;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=THE%20BAROKAH%20'warung%20kelontong%20company'%20since%202005&query_place_id=ChIJhR6PekXnaC4R0gjEIVdWqFQ;Toko bahan makanan;;;;;
13th Shoes;5;146;Jl. Terusan Cisokan No.100;Kota Bandung;Jawa Barat;ID;http://www.13thshoes.com/shop/;+62 878-7847-1954;Toko Sepatu;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=13th%20Shoes&query_place_id=ChIJDVLwUUfnaC4RGWTIZlP7UI8;Toko Sepatu;;;;;
Warung wa alo;5;2;Gg. Bp. Muhari No.59, RT.001/RW.002;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20wa%20alo&query_place_id=ChIJg5HoZG_naC4RbtkpgMJKWXM;Toko;;;;;
waroeng habibi's;4.2;14;Cibeunying Landeuh Rt06/ 04 no.94/ 144f Kel;Kota Bandung;Jawa Barat;ID;;+62 812-8808-0680;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=waroeng%20habibi's&query_place_id=ChIJvQIeMTLnaC4Rg9GR_Js4VbE;Toko Kelontong Asia;;;;;
TOKO SEMBAKO YOCHA ( teh Irene );5;1;Jl. Kubang Selatan VI No.222;Kota Bandung;Jawa Barat;ID;;+62 815-2576-7773;Warung Makanan Kecil;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20SEMBAKO%20YOCHA%20(%20teh%20Irene%20)&query_place_id=ChIJw6sVclfnaC4RSf9fWFbOBHc;Warung Makanan Kecil;;;;;
Warung Sembako;5;9;4JP8+4P7, Jl. Curug Dago Raya;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako&query_place_id=ChIJMW6BWADnaC4RnsQZGo_eMG0;Toko;;;;;
Warung Ibu Alit;5;3;4J5H+VP3;Kota Bandung;Jawa Barat;ID;;;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Ibu%20Alit&query_place_id=ChIJf6vtQknnaC4Rd-VmVtzyI3o;Toko Kelontong Asia;;;;;
Toko bapak Agus S;4.7;27;Cibeunying 1 No.20 Rt 04, RT.04/RW.14;Kota Bandung;Jawa Barat;ID;;+62 878-1903-5007;Toko Kelontong Asia;Toko;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20bapak%20Agus%20S&query_place_id=ChIJ_y5z_6znaC4Re0HvKrW7uuM;Toko Kelontong Asia;;;;;
Warung Pa Iwan (Glosir Sembako);5;3;no.7/151a kel, Jl. Gelatik Dalam;Kota Bandung;Jawa Barat;ID;;+62 852-9461-3326;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Pa%20Iwan%20(Glosir%20Sembako)&query_place_id=ChIJk-EgJa3naC4RwRtTIECcRr0;Toko;;;;;
TOKO SEMBAKO RIVAN;5;2;Karang tinggal dalam No 38, Kec Sukajadi Kel Cipedes;Kota Bandung;Jawa Barat;ID;;+62 838-2021-4248;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=TOKO%20SEMBAKO%20RIVAN&query_place_id=ChIJK_SP8T7naC4RdmxLhLF9kPA;Toko;;;;;
Warung Elle ~ Syakila;4.9;12;Jl. Sukaluyu I No.10, RT.02/RW.06;Kota Bandung;Jawa Barat;ID;;+62 821-1955-1276;Toko Kelontong Asia;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Elle%20~%20Syakila&query_place_id=ChIJ9cyORqTnaC4RAbxsgqr3q-Y;Toko Kelontong Asia;;;;;
Toko sembako murah;;;4HCH+3F9, Jl. Sarirasa;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20sembako%20murah&query_place_id=ChIJyZhHtTTnaC4RFnpkz2uavtc;Toko;;;;;
Toko Sembako Rep;5;1;Jl. Babakan Jeruk 1 No.78;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sembako%20Rep&query_place_id=ChIJC4iRqzLnaC4RMnfyCWAIhuY;Toko;;;;;
Warung Sembako IBU YANI;5;1;3HWC+JRM, Jl. Maleber Utara, RT.05/RW.06;Kota Bandung;Jawa Barat;ID;;+62 823-1705-7017;Minimarket;Restoran;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20IBU%20YANI&query_place_id=ChIJz46_VxTlaC4RkK9jNjy862g;Minimarket;;;;;
NZM SEMBAKO;5;4;Jl. Baladewa Asri No.2;Kota Bandung;Jawa Barat;ID;;+62 858-6060-0626;Toko umum;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=NZM%20SEMBAKO&query_place_id=ChIJlXKHWQDnaC4Rl1m0Pvadcqw;Toko umum;;;;;
Grosir Pa Agus Ibu Yani;5;6;Jl. Cipedes Atas No.68;Kota Bandung;Jawa Barat;ID;;+62 22 2002534;Toko Swalayan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Grosir%20Pa%20Agus%20Ibu%20Yani&query_place_id=ChIJE8oea5HmaC4RD-VWm3T_vLA;Toko Swalayan;;;;;
Warung Sembako Berkah;5;3;Jl. Terusan Mulyasari No.24;Kota Bandung;Jawa Barat;ID;;;Toko;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20Berkah&query_place_id=ChIJDZe_N1rnaC4Rkk0BNi4OHsM;Toko;;;;;
Toko Sumedang;4.3;78;Jl. Babakan Cianjur No.27;Kota Bandung;Jawa Barat;ID;;+62 22 6027475;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Toko%20Sumedang&query_place_id=ChIJraXXO9LlaC4Re7FQRFyB8dE;Toko bahan makanan;;;;;
Warung Sembako KALA;5;2;dpn RSHS, Garunggang Kulon No. 10/65 Rt/W : 06/11, Kel Jl. Pasir Kaliki;Kota Bandung;Jawa Barat;ID;;+62 852-2123-0098;Toko Makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20Sembako%20KALA&query_place_id=ChIJoZrEKajnaC4RLLr1HTqa6kU;Toko Makanan;;;;;
Warung sembako aa;5;1;4J94+HMW;Kota Bandung;Jawa Barat;ID;;;Toko bahan makanan;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20sembako%20aa&query_place_id=ChIJjxMueADnaC4RBBdsQ76H8v4;Toko bahan makanan;;;;;
Tote Bag;5;21;;Kota Bandung;Jawa Barat;ID;;;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Tote%20Bag&query_place_id=ChIJib2ZS6XnaC4R-cGZXOApgPE;Toko Tas;;;;;
Warung ridwan;4.9;11;Jl. Cibarengkok No.236;Kota Bandung;Jawa Barat;ID;;+62 896-1153-1107;Toko Perlengkapan Rumah;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Warung%20ridwan&query_place_id=ChIJx3aOBpDnaC4RApJDdOqPeOI;Toko Perlengkapan Rumah;;;;;
Elegant Leather;4.5;47;Jl. Cihampelas No.133 Blk;Kota Bandung;Jawa Barat;ID;;+62 22 2031352;Toko Aksesori Pakaian;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Elegant%20Leather&query_place_id=ChIJQ0RjglzmaC4RqTLyJMe_-Nc;Toko Aksesori Pakaian;;;;;
LNS Leather;4.6;5;Jl. Cikutra Barat belakang No.115, RT.01/RW.05;Kota Bandung;Jawa Barat;ID;;+62 813-2145-4545;Toko Barang-barang Kulit;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=LNS%20Leather&query_place_id=ChIJ675cen7naC4RYP87lbwXOF0;Toko Barang-barang Kulit;;;;;
Tas anak Karakter;4.4;7;4H5C+9VW;Kota Bandung;Jawa Barat;ID;;+62 813-6434-1180;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Tas%20anak%20Karakter&query_place_id=ChIJX15YpNXlaC4Rum2TFYr8QX4;Toko Tas;;;;;
Factory Outlet Store;4.3;357;Jl. Dr. Setiabudi No.73;Kota Bandung;Jawa Barat;ID;;;Mal outlet;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Factory%20Outlet%20Store&query_place_id=ChIJtxAFb5TmaC4RXKl_CgQXHkc;Mal outlet;;;;;
Mr. Quilting;4.5;71;Jl. Teuku Umar No.5;Kota Bandung;Jawa Barat;ID;https://mrquilting.com/;+62 811-2209-099;Toko Tas;;;;;;;;;;https://www.google.com/maps/search/?api=1&query=Mr.%20Quilting&query_place_id=ChIJ24dtNjznaC4RvcHqIJy-sMs;Toko Tas;;;;;
